iter	Passed	Remaining
0	2	242
1	4	213
2	6	201
3	7	187
4	10	192
5	12	190
6	13	185
7	15	181
8	17	177
9	19	173
10	20	169
11	22	165
12	23	159
13	25	155
14	26	150
15	27	146
16	29	142
17	30	138
18	31	133
19	32	129
20	33	125
21	34	121
22	35	118
23	36	114
24	37	112
25	38	109
26	39	107
27	40	104
28	41	102
29	42	99
30	43	97
31	44	94
32	45	92
33	46	89
34	47	87
35	48	85
36	48	83
37	49	81
38	50	79
39	51	77
40	52	75
41	52	72
42	53	71
43	54	69
44	55	67
45	56	65
46	56	64
47	57	62
48	58	61
49	59	59
50	60	58
51	61	56
52	62	55
53	63	53
54	63	52
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	85	20
81	86	19
82	87	17
83	88	16
84	88	15
85	89	14
86	90	13
87	91	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	99	1
99	100	0
